id,sat_path,map_path
0,data/SATELLITE/all_data_npy/sat/0.npy,data/SATELLITE/all_data_npy/map/0.npy
1,data/SATELLITE/all_data_npy/sat/1.npy,data/SATELLITE/all_data_npy/map/1.npy
2,data/SATELLITE/all_data_npy/sat/2.npy,data/SATELLITE/all_data_npy/map/2.npy
3,data/SATELLITE/all_data_npy/sat/3.npy,data/SATELLITE/all_data_npy/map/3.npy
4,data/SATELLITE/all_data_npy/sat/4.npy,data/SATELLITE/all_data_npy/map/4.npy
5,data/SATELLITE/all_data_npy/sat/5.npy,data/SATELLITE/all_data_npy/map/5.npy
6,data/SATELLITE/all_data_npy/sat/6.npy,data/SATELLITE/all_data_npy/map/6.npy
7,data/SATELLITE/all_data_npy/sat/7.npy,data/SATELLITE/all_data_npy/map/7.npy
8,data/SATELLITE/all_data_npy/sat/8.npy,data/SATELLITE/all_data_npy/map/8.npy
9,data/SATELLITE/all_data_npy/sat/9.npy,data/SATELLITE/all_data_npy/map/9.npy
10,data/SATELLITE/all_data_npy/sat/10.npy,data/SATELLITE/all_data_npy/map/10.npy
11,data/SATELLITE/all_data_npy/sat/11.npy,data/SATELLITE/all_data_npy/map/11.npy
12,data/SATELLITE/all_data_npy/sat/12.npy,data/SATELLITE/all_data_npy/map/12.npy
13,data/SATELLITE/all_data_npy/sat/13.npy,data/SATELLITE/all_data_npy/map/13.npy
14,data/SATELLITE/all_data_npy/sat/14.npy,data/SATELLITE/all_data_npy/map/14.npy
15,data/SATELLITE/all_data_npy/sat/15.npy,data/SATELLITE/all_data_npy/map/15.npy
16,data/SATELLITE/all_data_npy/sat/16.npy,data/SATELLITE/all_data_npy/map/16.npy
17,data/SATELLITE/all_data_npy/sat/17.npy,data/SATELLITE/all_data_npy/map/17.npy
18,data/SATELLITE/all_data_npy/sat/18.npy,data/SATELLITE/all_data_npy/map/18.npy
19,data/SATELLITE/all_data_npy/sat/19.npy,data/SATELLITE/all_data_npy/map/19.npy
20,data/SATELLITE/all_data_npy/sat/20.npy,data/SATELLITE/all_data_npy/map/20.npy
21,data/SATELLITE/all_data_npy/sat/21.npy,data/SATELLITE/all_data_npy/map/21.npy
22,data/SATELLITE/all_data_npy/sat/22.npy,data/SATELLITE/all_data_npy/map/22.npy
23,data/SATELLITE/all_data_npy/sat/23.npy,data/SATELLITE/all_data_npy/map/23.npy
24,data/SATELLITE/all_data_npy/sat/24.npy,data/SATELLITE/all_data_npy/map/24.npy
25,data/SATELLITE/all_data_npy/sat/25.npy,data/SATELLITE/all_data_npy/map/25.npy
26,data/SATELLITE/all_data_npy/sat/26.npy,data/SATELLITE/all_data_npy/map/26.npy
27,data/SATELLITE/all_data_npy/sat/27.npy,data/SATELLITE/all_data_npy/map/27.npy
28,data/SATELLITE/all_data_npy/sat/28.npy,data/SATELLITE/all_data_npy/map/28.npy
